Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Grimsel Hospiz
Altitude [m asl]:         1980 m
Coordinates:              46° 34.3' N / 8° 20.0' E

Reference date of homogenization:
         Temperature:     01.12.2020
         Precipitation:   01.12.2020

Last inhomogeneity provisionally corrected:
         Temperature:     no
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.10.2023


Year  Month        Temperature      Precipitation  
1932      1               -2.8              216.8  
1932      2               -9.0               24.6  
1932      3               -5.2              169.0  
1932      4               -3.2              137.0  
1932      5                2.0              164.7  
1932      6                5.3              133.5  
1932      7                7.9              129.3  
1932      8               11.3               71.7  
1932      9                9.5               83.2  
1932     10                1.8              222.1  
1932     11               -0.1              105.7  
1932     12               -1.9                5.7  
1933      1               -7.7              110.5  
1933      2               -6.6              186.2  
1933      3               -3.1               98.6  
1933      4               -0.5              112.5  
1933      5                1.0              315.4  
1933      6                3.2              232.9  
1933      7                9.6               75.7  
1933      8                9.9               44.6  
1933      9                7.0              159.3  
1933     10                2.6              188.2  
1933     11               -4.1              141.5  
1933     12               -6.9               20.9  
1934      1               -5.7              218.4  
1934      2               -4.2               40.4  
1934      3               -4.1              140.3  
1934      4                1.0               89.9  
1934      5                4.9               62.2  
1934      6                6.3              174.4  
1934      7                9.6               97.5  
1934      8                7.2              196.2  
1934      9                7.8               57.3  
1934     10                2.3              166.8  
1934     11               -2.2              115.6  
1934     12               -2.3              122.6  
1935      1               -9.3              260.7  
1935      2               -6.2              428.3  
1935      3               -5.3              252.2  
1935      4               -2.7              273.6  
1935      5                0.8              113.4  
1935      6                7.9              105.5  
1935      7                9.4               56.9  
1935      8                7.9              165.8  
1935      9                7.5               93.6  
1935     10                1.7              417.8  
1935     11               -1.4              169.3  
1935     12               -6.6              212.5  
1936      1               -3.3              212.9  
1936      2               -6.1              189.2  
1936      3               -3.3              123.1  
1936      4               -1.3              176.0  
1936      5                3.3              121.5  
1936      6                5.8              142.7  
1936      7                7.5              183.8  
1936      8                8.6               63.0  
1936      9                5.8              241.5  
1936     10               -1.5              145.3  
1936     11               -2.0               53.7  
1936     12               -3.9              194.9  
1937      1               -3.8              129.6  
1937      2               -4.8              418.1  
1937      3               -5.9              266.6  
1937      4               -2.5              256.0  
1937      5                3.8              130.0  
1937      6                6.6              108.3  
1937      7                8.4               99.7  
1937      8                8.1              112.0  
1937      9                5.6              214.4  
1937     10                3.2              154.8  
1937     11               -2.7              100.2  
1937     12               -8.4              122.6  
1938      1               -6.3              303.5  
1938      2               -5.7              138.1  
1938      3               -1.3              103.4  
1938      4               -4.7              103.8  
1938      5                1.1              170.4  
1938      6                7.8              128.5  
1938      7                7.8              157.3  
1938      8                8.1              124.7  
1938      9                6.7               95.2  
1938     10                3.7               95.5  
1938     11                1.3               51.7  
1938     12               -5.8              179.0  
1939      1               -4.6              186.3  
1939      2               -3.8              103.3  
1939      3               -7.9              374.1  
1939      4                0.3              173.9  
1939      5               -0.1              268.8  
1939      6                6.2              105.4  
1939      7                7.5              143.1  
1939      8                8.6              119.1  
1939      9                5.5               67.8  
1939     10                0.5              276.0  
1939     11               -0.1              293.4  
1939     12               -6.1              130.6  
1940      1               -7.7              171.1  
1940      2               -5.0              277.7  
1940      3               -4.3              194.4  
1940      4               -1.7              163.6  
1940      5                2.0              179.0  
1940      6                5.4               94.7  
1940      7                7.1              158.8  
1940      8                7.2              119.0  
1940      9                6.2              251.7  
1940     10                2.4              194.0  
1940     11               -2.1              210.9  
1940     12               -9.2              244.8  
1941      1               -7.6              115.2  
1941      2               -6.3              214.3  
1941      3               -3.5              107.0  
1941      4               -2.8              131.2  
1941      5               -0.4              208.7  
1941      6                6.2               96.6  
1941      7                9.1               91.8  
1941      8                7.4              208.4  
1941      9                6.0               99.1  
1941     10                0.3              270.0  
1941     11               -2.5              111.3  
1941     12               -6.3              155.5  
1942      1              -10.7              183.1  
1942      2               -8.8               89.8  
1942      3               -1.5              130.6  
1942      4               -0.5              106.7  
1942      5                2.9              164.4  
1942      6                7.0               97.9  
1942      7                8.2              103.3  
1942      8                8.8              100.9  
1942      9                8.0              161.2  
1942     10                5.0              289.7  
1942     11               -3.1              113.3  
1942     12               -3.8               54.7  
1943      1               -5.5              245.3  
1943      2               -4.7              197.2  
1943      3               -1.7              107.6  
1943      4               -0.2              209.8  
1943      5                4.7               94.1  
1943      6                5.1              202.2  
1943      7                8.5               97.2  
1943      8               10.1               72.5  
1943      9                7.6              152.5  
1943     10                5.8               21.0  
1943     11               -3.8              178.2  
1943     12               -4.1               76.7  
1944      1               -3.8              195.9  
1944      2               -9.5              246.1  
1944      3               -7.9              347.3  
1944      4               -0.2               92.5  
1944      5                3.0               77.1  
1944      6                5.2              122.5  
1944      7                8.1              142.7  
1944      8               11.5               37.7  
1944      9                5.9              127.2  
1944     10                0.5              223.7  
1944     11               -4.1              397.7  
1944     12               -6.8              136.7  
1945      1              -10.7              125.7  
1945      2               -2.5              249.4  
1945      3               -2.9              249.0  
1945      4                0.5              176.3  
1945      5                4.1              135.8  
1945      6                7.8               69.9  
1945      7                9.8               97.1  
1945      8                8.0              183.6  
1945      9                6.4              249.2  
1945     10                2.7              176.6  
1945     11               -2.3              111.6  
1945     12               -5.5              243.9  
1946      1               -6.6              129.9  
